name,synonyms
Oligodendroglioma,"['Oligodendroglial Neoplasm', 'Oligodendroglial Tumor', 'WHO grade II oligodendroglial neoplasm', 'WHO grade II oligodendroglial tumor', 'WHO grade II oligodendroglial tumour', 'oligodendroglial tumour', 'oligodendroglioma', 'well differentiated oligodendroglial tumor', 'well differentiated oligodendroglial tumour', 'well differentiated oligodendroglioma']"
Oral squamous cell cancer,"['Mouth Squamous Cell Carcinoma', 'OCSC', 'mouth scc', 'oral cavity scc', 'oral cavity squamous cell cancer', 'oral cavity squamous cell carcinoma', 'oral squamous cell carcinoma', 'scc of mouth', 'scc of oral cavity', 'scc of the mouth', 'scc of the oral cavity', 'squamous cell carcinoma of mouth', 'squamous cell carcinoma of oral cavity', 'squamous cell carcinoma of the mouth', 'squamous cell carcinoma of the oral cavity']"
Osteosarcoma,"['Bone Tissue Neoplasm', 'Osteogenic Sarcoma', 'Osteoid Sarcoma', 'Skeletal Sarcoma', 'osteosarcoma', 'osteosarcoma malignant', 'sarcoma of osteoid']"
Ovarian cancer,"['Malignant Ovarian Tumor', 'Malignant Tumour Of Ovary', 'Ovarian Neoplasm', 'Ovary Neoplasm', 'Primary Ovarian Cancer', 'Tumor Of The Ovary', 'cancer of ovary', 'cancer of the ovary', 'malignant neoplasm of ovary', 'malignant neoplasm of the ovary', 'malignant ovarian neoplasm', 'malignant ovarian tumour', 'malignant ovary neoplasm', 'malignant tumor of ovary', 'malignant tumor of the ovary', 'malignant tumour of the ovary', 'ovarian cancer', 'ovarian cancer epithelial', 'ovarian cancer somatic', 'ovarian malignant tumor', 'ovarian malignant tumour', 'ovary cancer', 'tumour of the ovary']"
Pancreatic cancer,"['Ca Body Of Pancreas', 'Ca Head Of Pancreas', 'Ca Tail Of Pancreas', 'Malignant Neoplasm Of Body Of Pancreas', 'Malignant Neoplasm Of Head Of Pancreas', 'Malignant Neoplasm Of Tail Of Pancreas', 'Pancreas Neoplasm', 'Pancreatic Neoplasm', 'Pancreatic Tumor', 'cancer of pancreas', 'malignant neoplasm of pancreas', 'malignant neoplasm of the pancreas', 'malignant pancreas neoplasm', 'malignant pancreatic neoplasm', 'pancreas cancer', 'pancreatic cancer', 'pancreatic tumour']"
Papillary cancer,"['Papillary adenocarcinoma','Infiltrating And Papillary Adenocarcinoma', 'Infiltrating Papillary Adenocarcinoma', 'adenocarcinoma papillary malignant', 'papillary adenocarcinoma', 'papillary adenocarcinoma NOS']"
Paraganglioma,"['Chemodectoma', 'Glomus Body Tumor', 'Paraganglionic neoplasm', 'Paraganglionic tumor', 'Paraganglionic tumour', 'neoplasm of paraganglion', 'neoplasm of the paraganglion', 'paraganglioma', 'paragangliomas', 'paraganglion neoplasm', 'paraganglion tumor', 'paraganglion tumour', 'tumor of paraganglion', 'tumor of the paraganglion', 'tumour of paraganglion', 'tumour of the paraganglion']"
Peritoneal cancer,"['carcinoma of peritoneum', 'peritoneum carcinoma', 'primary peritoneal carcinoma']"
Pleomorphic xanthoastrocytoma,"['PXA', 'Pleomorphic Xantho astrocytoma']"
Prostate cancer,"['Hereditary Prostate Cancer', 'Malignant Tumor Of The Prostate', 'NGP New Growth Of Prostate', 'Prostate Cancer', 'Prostate Neoplasm', 'Prostatic Cancer', 'Prostatic Neoplasm', 'Tumor Of The Prostate', 'cancer of prostate gland', 'malignant neoplasm of prostate', 'malignant neoplasm of prostate gland', 'malignant neoplasm of the prostate', 'malignant prostate gland neoplasm', 'malignant prostate neoplasm', 'malignant prostate tumor', 'malignant prostate tumour', 'malignant tumor of prostate', 'malignant tumour of prostate', 'malignant tumour of the prostate', 'prostate cancer familial', 'prostate gland cancer', 'tumour of the prostate']"
Pseudomyxoma peritonei,"['Adenomucinosis', 'Mucinous Ascites', 'Myxoma peritonei', 'PMP', 'gelatinous ascites', 'peritoneal cavity pseudomyxoma peritonei', 'pseudomyxoma peritonei', 'syndrome of pseudomyxoma peritonei', 'well differentiated peritoneal mucinous adenocarcinoma']"
Renal cancer,"['Carcinoma Of Kidney', 'Kidney Carcinoma', 'kidney cancer', 'renal cancer', 'renal carcinoma']"
Retinoblastoma,"['Neuroblastoma Of Retina', 'RB', 'RB Retinoblastoma', 'RB1', 'eye cancer retinoblastoma', 'retinoblastoma', 'retinoblastoma malignant']"
Rhabdoid cancer,"['Malignant Rhabdoid Tumour', 'Rhabdoid Sarcoma', 'malignant rhabdoid tumor', 'rhabdoid cancer', 'rhabdoid tumor']"
Rhabdomyosarcoma,"['rhabdomyosarcoma', 'rhabdomyosarcoma malignant']"
Salivary gland cancer,"['Malignant Neoplasm Of Salivary Gland', 'cancer of saliva secreting gland', 'cancer of salivary gland', 'cancer of the salivary gland', 'malignant neoplasm of major salivary gland', 'malignant neoplasm of saliva secreting gland', 'malignant neoplasm of salivary gland duct', 'malignant neoplasm of the salivary gland', 'malignant saliva secreting gland neoplasm', 'malignant salivary gland neoplasm', 'malignant salivary gland tumor', 'malignant salivary gland tumour', 'malignant tumor of salivary gland', 'malignant tumor of the salivary gland', 'malignant tumour of salivary gland', 'malignant tumour of the major salivary gland', 'malignant tumour of the salivary gland', 'saliva secreting gland cancer', 'salivary gland cancer']"
Sarcoma,"['Connective And Soft Tissue Neoplasm', 'Tumor Of Soft Tissue And Skeleton', 'mesenchymal tumor malignant', 'sarcoma', 'sarcoma malignant', 'sarcoma of soft tissue and bone', 'sarcoma of the soft tissue and bone', 'tumour of soft tissue and skeleton']"
Sinonasal undifferentiated cancer,"['SNUC', 'Sinonasal anaplastic carcinoma', 'highly aggressive undifferentiated carcinoma of the nasal cavity and paranasal sinuses', 'sinonasal undifferentiated carcinoma', 'undifferentiated Sinonasal cancer']"
Skin cancer,"['Skin Squamous Cell cancer', 'CSCC', 'Epidermoid Skin Carcinoma', 'cutaneous squamous cell carcinoma', 'epidermoid carcinoma of skin', 'epidermoid carcinoma of the skin', 'skin squamous cell cancer', 'skin squamous cell carcinoma', 'squamous cell carcinoma of skin', 'squamous cell carcinoma of the skin', 'squamous cell carcinoma skin', 'squamous cell skin carcinoma', 'zone of skin squamous cell carcinoma']"
Spitzoid melanoma,['Atypical Spitz Nevus']
Splenomegaly,0
Squamous cell cancer,"['Epidermoid Carcinoma', 'Malignant Squamous Cell Tumor', 'Squamous Carcinoma', 'Squamous Cell Cancer', 'Squamous Cell Epithelioma', 'carcinoma squamous cell malignant', 'epidermoid cell cancer', 'malignant epidermoid cell neoplasm', 'malignant epidermoid cell tumor', 'malignant epidermoid cell tumour', 'malignant squamous cell neoplasm', 'malignant squamous cell tumour', 'squamous cell carcinoma', 'squamous cell carcinoma NOS']"
Stomach cancer,"['Ca body stomach', 'Ca lesser curvature stomach', 'GC', 'Gastric Cancer', 'Gastric Neoplasm', 'ca greater curvature of stomach', 'cancer of stomach', 'gastric cancer intestinal', 'gastric cancer risk after h. pylori infection', 'gastric cancer somatic', 'malignant gastric neoplasm', 'malignant gastric tumor', 'malignant gastric tumour', 'malignant neoplasm of body of stomach', 'malignant neoplasm of lesser curve of stomach', 'malignant neoplasm of stomach', 'malignant neoplasm of the stomach', 'malignant stomach neoplasm', 'malignant tumor of body of stomach', 'malignant tumor of greater curve of stomach', 'malignant tumor of lesser curve of stomach', 'malignant tumor of stomach', 'malignant tumor of the stomach', 'malignant tumour of body of stomach', 'malignant tumour of greater curve of stomach', 'malignant tumour of lesser curve of stomach', 'malignant tumour of stomach', 'malignant tumour of the stomach', 'stomach cancer']"
Synovial sarcoma,"['SS', 'Synovialosarcoma', 'sarcoma synovial', 'sarcoma synovial malignant', 'synovial sarcoma']"
Tenosynovial giant cell cancer,"['Tenosynovial Giant Cell Tumor', 'Fibrous Histiocytoma Of Tendon Sheath', 'Giant Cell Tumor Of Tendon Sheath', 'Giant Cell Tumor Of Tenosynovium', 'Giant Cell Tumour Of Tendon Sheath', 'Giant Cell Tumour Of Tenosynovium', 'Tenosynovial Giant Cell Tumour', 'giant cell neoplasm of Tenosynovium', 'giant cell neoplasm of tendon sheath', 'giant cell neoplasm of the Tenosynovium', 'giant cell tumor of the Tenosynovium', 'giant cell tumour of the Tenosynovium', 'tendon sheath giant cell neoplasm', 'tendon sheath giant cell tumor', 'tendon sheath giant cell tumour', 'tenosynovial giant cell neoplasm', 'tenosynovial giant cell tumor']"
Thymic cancer,"['Malignant', 'Malignant Thymoma', 'THYC', 'Thymoma', 'carcinoma of thymus', 'thymic carcinoma', 'thymic carcinoma excluding well differentiated thymic carcinoma', 'thymoma malignant', 'thymoma type C', 'thymus carcinoma', 'type C thymoma']"
Thyroid cancer,"['Malignant Neoplasm Of Thyroid Gland', 'Malignant Tumour Of Thyroid Gland', 'Neoplasm Of Thyroid Gland', 'Thyroid Gland Cancer', 'Thyroid Gland Neoplasm', 'Thyroid Neoplasm', 'cancer of thyroid gland', 'malignant neoplasm of the thyroid', 'malignant neoplasm of the thyroid gland', 'malignant neoplasm of thyroid', 'malignant thyroid gland neoplasm', 'malignant thyroid gland tumor', 'malignant thyroid gland tumour', 'malignant thyroid neoplasm', 'malignant thyroid tumor', 'malignant thyroid tumour', 'malignant tumor of the thyroid', 'malignant tumor of the thyroid gland', 'malignant tumor of thyroid', 'malignant tumor of thyroid gland', 'malignant tumour of the thyroid', 'malignant tumour of the thyroid gland', 'malignant tumour of thyroid']"
Transitional cell cancer,"['Transitional Carcinoma', 'Transitional Cell Tumor', 'Urothelial Cell Carcinoma', 'carcinoma of transitional epithelial cell', 'carcinoma of urothelial cell', 'carcinoma urothelial malignant', 'transitional cell carcinoma', 'transitional cell neoplasm', 'transitional cell tumour', 'transitional epithelial cell carcinoma']"
Urothelial cancer,0
Uterine cancer,"['CA Cancer Of Uterus', 'Malignant Neoplasm Of Uterus', 'Malignant Uterine Tumor', 'Neoplasm Of Uterus', 'Tumour Of Uterus', 'Uterine Tumor', 'Uterus Neoplasm', 'cancer of the uterus', 'cancer of uterus', 'malignant neoplasm of the uterus', 'malignant tumor of the uterus', 'malignant tumor of uterus', 'malignant tumour of the uterus', 'malignant tumour of uterus', 'malignant uterine neoplasm', 'malignant uterine tumour', 'malignant uterus neoplasm', 'tumor of uterus', 'uterine cancer', 'uterine tumour', 'uterus cancer']"
Uterine corpus endometrial cancer,"['body of uterus endometrial carcinoma', 'endometrial carcinoma of body of uterus']"
Uveal melanoma,"['Melanoma Of Uvea', 'choroidal melanoma', 'intraocular melanoma', 'iris melanoma', 'melanoma of the uvea', 'melanoma uveal malignant', 'uvea melanoma', 'uveal melanoma']"
