name,synonyms
Cervix cancer,"['Cancer Of Cervix', 'Carcinoma Cervix Uteri', 'Carcinoma Of Cervix', 'Carcinoma Of The Cervix Uteri', 'cancer of the cervix', 'cancer of the uterine cervix', 'cancer of uterine cervix', 'carcinoma of cervix uteri', 'carcinoma of the cervix', 'carcinoma of the uterine cervix', 'carcinoma of uterine cervix', 'cervical cancer', 'cervical cancer NOS', 'cervical carcinoma', 'cervix cancer', 'cervix carcinoma', 'cervix uteri carcinoma', 'uterine cervix cancer', 'uterine cervix carcinoma']"
Cholangiocarcinoma,"['Cholangiolocellular cancer', 'CLC', 'cholangiocarcinoma of intralobular bile duct', 'cholangiolocellular carcinoma', 'intralobular bile duct cholangiocarcinoma']"
Chondrosarcoma,"['Cartilaginous Cancer', 'Chondrosarcoma Of Bone', 'Primary Chondrosarcoma Of The Bone', 'chondrosarcoma', 'chondrosarcoma malignant', 'chondrosarcoma somatic mutation']"
Chordoma,"['CHDM', 'Notochordoma', 'chordoma', 'chordoma malignant', 'chordoma susceptibility to', 'notochordal sarcoma', 'susceptibility to chordoma']"
Clear cell sarcoma,"['Adult Soft Part Clear Cell Sarcoma', 'Clear Cell Sarcoma Of Soft Parts', 'Malignant', 'Malignant Melanoma Of Soft Tissues', 'Melanoma', 'Of Soft Parts', 'chordoid sarcoma', 'clear cell sarcoma', 'clear cell sarcoma not kidney', 'clear cell sarcoma of soft tissue', 'clear cell sarcoma/malignant melanoma of soft parts', 'malignant melanoma of soft parts', 'malignant melanoma of the soft parts', 'melanoma malignant of soft parts']"
Colon cancer,"['cancer of colon', 'colon cancer', 'colon neoplasm malignant', 'colon tumor malignant', 'malignant colon neoplasm', 'malignant colon tumor', 'malignant colon tumour', 'malignant colonic neoplasm', 'malignant colonic tumor', 'malignant colonic tumour', 'malignant neoplasm of colon', 'malignant neoplasm of the colon', 'malignant tumor of colon', 'malignant tumor of the colon', 'malignant tumour of colon', 'malignant tumour of the colon', 'CRC', 'cancer of colorectum', 'cancer of large bowel', 'cancer of large intestine', 'cancer of the large bowel', 'colon cancer', 'colon cancer advanced somatic', 'colon cancer somatic', 'colon cancer susceptibility to autosomal dominant somatic mutation', 'colorectal cancer', 'colorectal cancer autosomal dominant somatic mutation', 'colorectal cancer somatic', 'colorectal cancer susceptibility to autosomal dominant somatic mutation', 'colorectal cancer with chromosomal instability somatic', 'colorectum cancer', 'large intestine cancer', 'malignant colorectal neoplasm', 'malignant colorectal tumor', 'malignant colorectal tumour', 'malignant colorectum neoplasm', 'malignant large bowel neoplasm', 'malignant large bowel tumor', 'malignant large bowel tumour', 'malignant large intestine neoplasm', 'malignant large intestine tumor', 'malignant large intestine tumour', 'malignant neoplasm of colorectum', 'malignant neoplasm of large bowel', 'malignant neoplasm of large intestine', 'malignant neoplasm of the large bowel', 'malignant neoplasm of the large intestine', 'malignant tumor of large bowel', 'malignant tumor of large intestine', 'malignant tumor of the large bowel', 'malignant tumor of the large intestine', 'malignant tumour of large bowel', 'malignant tumour of large intestine', 'malignant tumour of the large bowel', 'malignant tumour of the large intestine']"
Desmoid cancer,"['Desmoid tumor', 'FIF', 'aggressive fibromatosis', 'deep fibromatosis', 'deep fibromatosis/desmoid tumor', 'deep fibromatosis/desmoid tumour', 'desmoid disease hereditary', 'desmoid disorder hereditary', 'desmoid fibromatosis', 'desmoid tumor', 'desmoid type fibromatosis', 'desmoid/aggressive fibromatosis', 'familial infiltrative fibromatosis', 'fibromatosis familial infiltrative']"
Endometrial adenocarcinoma,"['Adenocarcinoma Of Endometrium', 'Adenocarcinoma Of The Endometrium', 'Adenocarcinoma Of Uterus', 'Endometrial Adenoacanthoma', 'Endometrial Endometrioid Adenocarcinoma', 'Endometrial Endometrioid Adenocarcinoma With Squamous Differentiation', 'Endometrioid Adenoma Or Carcinoma', 'Endometrioid Adenomas And Carcinomas', 'Endometrioid Carcinoma Of Endometrium', 'adenocarcinoma endometrial malignant', 'endometrial adenocarcinoma', 'endometrioid adenoma or carcinoma NOS', 'endometrium adenocarcinoma']"
Endometrial cancer,"['Endometrial Ca', 'Endometrial Neoplasm', 'Malignant Endometrial Neoplasm', 'Malignant Neoplasm Of Endometrium', 'Neoplasm Of Endometrium', 'Primary Malignant Neoplasm Of Endometrium', 'Tumor Of Endometrium', 'cancer of endometrium', 'endometrial cancer', 'endometrial cancer familial autosomal dominant somatic mutation', 'endometrial cancer susceptibility to autosomal dominant somatic mutation', 'endometrial carcinoma somatic', 'endometrium cancer', 'malignant endometrium neoplasm', 'tumour of endometrium']"
Endometrial hyperplasia,
